public_total_salary_wage,privateprofit_total_salary_wage,private_nonprofit_total_salary_wage
53606979,3799874,3485500
1092407185,364287,18030830
111702183,1851197,2955528
52087045,760376,19142892
12525481,14578629,9792520
398770589,2598269,1307532
8359627,360795,4369088
17146542,3730765,14624708
40776887,2523269,10380464
425762295,3865335,16703363
6156851,1653464,70191259
7706920,307519,2240271
12916391,3942323,18633713
24432097,16008142,1902694
17276580,5729584,6423615
17281065,2584468,5879802
8556416,271480,45192836
5147204,212993,2341837
7418139,308821,255659
48747812,506809,7537237
5034683,1213879,812391
23272554,265832868,27378556
25387738,187945,587171
15107483,8828000,5977722
18441443,591029,5099815
7753560,7536026,7107464
4853361,4795972,6748756
26135767,2278431,5676530
12822515,487639,4760193
46129542,118547,1138213
9346281,819662,50406221
7294383,12340000,20236830
3327395,10275030,805033
13577134,419714,21075774
18068555,159014,11799615
7421549,99695,7799015
342080000,503472,6135382
8029902,112784,1931034
102811140,483798,3340444
18195055,1746129,955533
136961313,1507799,3719787
167842457,216077,1071932
23375545,202560,12688598
5079242,1481744,9948759
18282259,411380,40646000
867537000,166755,118618052
27732575,25432,1334217
894490000,402538,66513018
24875312,253877,3887663
23439089,88796,16928554
19936603,105189400,67444410
56758604,272374,35402000
38822519,617975,294986112
30221072,216931,49526420
65960206,27004399,269873
15430865,1164048,37087170
11005948,725693,15852276
233542810,1957271,3206098
13636784,1146966,666059
36775615,9055695,1435403
94007534,38868654,1034896
47313224,2623902,759719
34136233,334264,471956
17910472,2735424,298814
26990446,1094613,126930049
91695691,896435,23648900
749181000,418000,33126150
351144568,1115680,8466923
31282809,5939000,1874126
14449132,94373,33146839
84747562,777628,44291000
53261026,1043549,5282757
19101205,1666089,93302910
8156393,1855402,3534214
75395560,2874544,526225
5872332,54251546,28325840
2240386,1491422,1461583
5770350,2908714,11512116
11165623,96046,981043
5661858,182193,28530494
24521527,294394,31066000
7787017,4479265,4648215
9039938,155636,30498629
8966981,436114,3770396
3695043,9826868,27151750
5780572,2004902,14852118
5157597,1177876,5058939
7060148,1290281,12219454
9447421,1630216,9487058
6566879,8425632,3754709
20726189,382128,67236833
5829621,6355339,5850956
3995778,1508579,11620785
7650221,309808,2854961
25795198,206538,1287306
6877344,950997,25875904
6101600,511408,129195884
32051912,5034546,11584508
16342316,2573297,17531941
44215207,7036285,158451000
81977461,4368186,13238611
50791151,125596,13716929
54529460,4105821,33031766
9970689,646725,37439661
53045560,11877820,100353431
45399948,5516420,17294856
27610072,5524676,49628167
173955511,744236,21711838
58493394,1124563,10776437
60800043,1715810,16079704
53815492,3101209,7899956
112689074,1297578,2884549
135404601,333794,1197665
106992943,5703000,18924643
82929249,2208324,149018979
133471457,338556,139386000
211754047,237012,22573730
103423316,699785,40022569
217470765,850896,60333000
143706715,3386370,1208215
218149798,1408789,56895691
166123194,1028756,1265937
1162383838,36687224,32065572
2006639208,4344486,159375000
1218555265,1578220,10729918
3226906649,214271,11772000
360414188,1597984,3492621
1957208059,5958000,170783000
2546487010,1883235,2752359
416202459,5138000,11130922
298347817,5126000,155619000
20044203,122340000,5261954
24471165,195335,23006943
70976520,9297914,288191
73605910,4954797,1611469
14319355,376805,10263238
47449761,2299245,64228288
69331654,4041607,3301388
50272015,5518000,20304382
208378256,6496022,2536781
1238027,1527814,1250800
20147857,10236465,13601426
21872922,4225328,9691000
11853546,135549,1889539000
24135734,692336,17434341
8214348,1041154,5099953
24320046,582984,5994058
40910120,6832644,704164
19573350,9825151,1368732
40973692,4191536,2366262
21744821,4801424,23305375
53534670,319021,34440214
78533178,731452,22358646
38792757,9227144,6283685
60989997,4395907,8866537
85266591,2106807,1049329
89399183,1969314,1168743
39837985,3760634,26039713
8900365,955271,51470587
63226204,4064626,2119218
73886095,5311131,6885787
5219286,2690908,198156914
87346040,1318703,3970068
22798222,963916,12830012
69794000,18649194,2590274
38397172,34787398,1598813
6762183,6436257,64891937
44083830,1327650,370799
32844026,2415579,13454063
68129996,430078,572559
31174879,2621112,40890000
48112547,7045843,52974000
36519907,47350,27246000
10243679,6446469,71669000
31142132,4003000,1386000
8449201,3628000,2330463
89728627,2814000,73315420
29627322,320023,2242461
32407969,1427136,8257130
55872888,883658,72891431
26825052,18936539,129046796
50435884,121879,60360538
51682720,129437342,31812000
53539676,460078,4560879
2980045,881460,52709897
29523903,721310,83025000
31288970,3438738,1576952558
12304422,1133507,1548589
37257296,13882123,394230840
16188784,781076,6347237
38287943,650309,12544142
17511849,329218,56374171
68889750,4010105,225057000
33998796,3205182,100674364
49671815,980824,1377587
36818018,284126,66441058
37180478,2534889,521128000
137380705,1892097,498962000
47454315,377188,347750000
25870969,27040672,254664
0,1530427,16897587
41400954,232231,5461251
65581010,10738636,2455352
22245787,5280702,2953469
8235733,5009107,74251600
76210733,1661871,49232074
99243736,997777,32158935
14385802,1114449,6891100
14430791,5791022,2077220
67663159,1374269,25333728
21749834,2336575,8434072
51367921,432885,84735910
64521175,1870418,22372310
67034615,594036,5778786
79239304,765270,17318824
215078197,471782,79316753
51960533,4333628,13160586
61317604,251751,26983076
33086476,110000,2473085
211129500,89755,1256454
197111761,1547133,38063165
62292092,1003988,1869392
13990731,152926,138114353
39942967,431234,3196743
186563401,396168,1576294
26007697,174516,1318403148
37796174,370579,286251495
73190264,270087,2304746
123950000,110601,33037408
92534641,5244206,1699044
36366514,3832616,20370302
30929489,210407,49240000
62090531,66874424,81162213
9961175,563812,1561001
1841024,1350254,29473990
37670229,3457178,55246995
41838620,246446,35526199
32517811,1141231,1400210
70194217,215456,2639650
71946003,331561,52104430
2799974,3526673,1490294
26199409,5092145,1536263
263682927,1680485,7608155
8389898,13172917,4331311
37204311,179884,21738053
41209088,3073438,2829340
16006674,148794,9225070
36832029,2808643,37627134
9528998,598227,34708355
35370156,134514,4032984
14356958,8531457,20986187
25558073,391520,3350452
24173069,204855,316391
35646468,849281,5118786
23452128,9091174,12385536
1012307005,2467941,6321781
86776135,366572,2311080000
599602554,1218672,803979
36973424,108295,3111896
6775528,583227,10868903
93982583,1522654,31677640
504360359,865926,124367021
16878338,104714,30647986
1541315,199929,82537357
25230879,396082,10994887
7808638,403582,7692569
34314469,1311323,19798649
52996005,16944334,12075014
3530459,2097495,107193086
44481122,2082939,11933150
102531078,39156,38135230
6177074,546155,7400010
8337069,2210101,6161907
105071037,617770,6119001
10873550,3893549,7798783
39963342,1814108,11679321
21129674,102073,21648331
25687197,330745,38115875
32992054,497910,112765
2399220,468441,1416763
7581128,706838,13254932
43081744,1439389,17026912
360867037,144532,126774000
17995965,1136596,21216929
10325211,794756,3054469
104357111,99223,576348
8253058,184901,59130000
969154802,768872,35221406
58268416,2589278,34315076
19700020,1262534,1603524
20570411,95745,6938794
28264118,179425,3269823
30502542,598311,263457
13525445,293117,68522427
17899197,332735,4224333
28323987,328594,69685117
9056064,228143,38066800
9039640,161136000,2958178
31158444,165961,1087217594
105259811,1151746,86973010
18988988,387504,29252360
45433867,206382,249682000
60844996,738405,2884575
5999909,160037,30103300
68090093,265213,6628965
54173597,7734425,6225957
66055585,170252,1080514
14105232,2648247,10658819
1274238,2558816,4246593
45684584,705765,57449681
116344340,359655,39711170
20962676,4219000,18656192
450439322,314132,27909319
3367094,4939770,14379090
8635940,246999,128402000
3328001,3014050,1021080
51582135,1038681,19986659
42951615,23799325,10899905
138904553,548770,23097671
251385792,975285,21261080
82022732,501414,5483236
432127811,5115921,2200987
5804496,3553301,49106052
512669057,842145,5458928
1514267000,3942074,8758008
3781963,392277,243562689
2843346,485500,3583791
20299852,306564,2049200
66095100,373100,1089248
57781711,541909,5488422
13827149,4869716,3156904
4608400,25340346,18144029
16109722,622252,1555127
4546033,879997,5446155
3371751,411767,19951659
6279903,495362,14234107
28092164,134752,45214032
7607557,1706975,860448
4702816,251912,31818510
4799863,1145382,10122203
229607219,113396,31869101
7652071,204833,28885627
5352668,328891,2254651
114177785,4289327,996074000
21141080,66000,39733353
4388109,300000,15397464
76290137,869155,9198216
27906755,991281,22427641
30076920,341949,10838376
4239867,107607,54209092
32827334,177638,31576918
1167712,81619,757547001
3153019,229363,4948917
7514484,253126,25571653
6186499,14220236,1751004
102152766,1553638,34613579
4834688,112620,1215046
44914587,275773,7634421
8940126,3530813,5401507
48235073,1578393,1002843
14264498,771163,2826795
17673222,2308362,3383164
13269322,125881,1063155
596594652,225177,11594834
1562483,1425905,14480855
41130643,744157,2525312
1368389,388519,8064081
2075723,224547,48730085
118976047,1230660,3297034
2597974,3231076,22323000
98505003,435142,12355424
4303047,2106184,69248000
8209330,2573874,6129403
3967156,107248,4711884
2527152,2662320,4969713
15395647,343949,42116292
12475987,1347200,20066040
19445904,2709796,30343033
22650002,519006,12416105
42024246,491579,11127515
15745805,1817160,10543563
11800195,4661716,15541243
15786693,334950,4759311
8700657,8340214,9264930
15532999,348568,47856443
22184477,729703,23629156
41451289,1258548,17352124
12378235,1273967,28397527
48527544,2128953,36411074
18459740,297678,2902306
20075274,1460912,2167804
10104640,315862,389579
17742677,154389,476714549
27904778,229890,9503386
601661,421058,39668695
703534949,69678,19344771
17432933,1167180,7845104
53740076,3604480,7475677
156931416,7533010,23555167
349802948,133885,2980508
687746615,113430,2380390
14239988,1636680,23656231
15659364,244073,18798037
25108074,61788,60303000
13214835,1467885,18783372
24504394,1074457,5382502
9950502,803139,9511741
15824900,504813,19094428
34025238,5389405,18746165
7429575,16504611,12016439
13939266,6284,16115273
75082625,181243,15776759
80206716,1200000,3240824
55422774,162525,15155693
478681138,626530,63165171
26148781,339872,19489177
37389564,101133,2608234
12015455,561565,2565901
31446964,854290,16263746
23631191,838794,15974991
57573014,4331759,46848000
19843796,2541121,157619
15034053,230426,4786127
168341992,84564,16487431
5290445,578504,29804855
112488710,69340,9499000
160575181,1178233,7234562
23964378,77771,16745267
29524030,3416965,12440472
29553582,4841100,11251835
43438669,8093465,28410067
22835892,877899,31913269
10085519,2042617,29826209
57259118,1188118,2534856
20582810,306068,16499796
22331262,691624,24906219
15495067,1804205,18855164
26352526,568390,2261858
17633647,24836883,8079942
26769117,373686,14359611
26620844,132487,14643297
32252021,13500,5259339
11197053,132336,6267000
101539873,173543,3830236
92123606,574956,2771154
48527654,872488,2148577
50586985,715579,14617873
10199555,4875169,5715840
1032184835,3060861,767658
923928056,512432,11705498
33833594,304860,6158109
5013283,265248,2154786
196663201,1877327,8022025
14708572,546450,16762987
20428128,592024,15257529
9556711,960329,12736563
52747551,161935,11611141
15997226,176735,5969930
15306095,544846,4866885
15841293,95633,4062831
64337089,823250,17111830
21163422,3523509,13871857
23814840,68678,35811486
30069770,123903,40499857
28195575,5150963,6474850
55603530,124392,17816131
14912863,186785,22639531
204355207,226418,1380391
74984715,259552,23757074
43313784,564360,11184986
42335522,1591308,13218752
21018834,2718701,237070
11710825,3202035,5896969
13044831,1326179,5272753
27952425,3565519,1142034
48065414,5325874,17382789
7875949,559497,3781417
7369626,1493993,6728114
7217199,945995,21555597
6379905,468631,18073797
312138825,964211,15915148
124530979,144776,10932806
3388778,194000,16152714
22589365,303810,7256740
38407649,4750000,523706
77000205,2980798,255205
36323871,37559057,9993608
117253665,624592,14192606
73122709,2267370,7854589
237570268,620000,48878000
239020725,1268359,9881765
62758380,462932,2221654
577276594,2902707,7152265
57031666,410338,11384865
106189000,5621608,2127427
16019941,5700000,1689471
32320506,949884,396185000
730405367,2737272,46144310
23363663,4012112,6411394
31158126,1253687,44805004
18084779,3500000,64514000
51756948,705559,1842111
19837190,746730,51296000
45878390,2618642,877749
71387941,5007812,69334451
6192140,1009346,5351035
28169737,128000,17892696
21180869,523604,7857811
24135645,1322540,7563298
22434505,4369304,5502800
14326209,164616,12751212
555975445,7934000,31909570
24122958,254251,17939475
1310510000,2298157,2419056000
63903373,2003026,87885199
10102964,2494938,36996966
14627943,8043747,27763185
134033078,1146805,3799695
22627336,588165,22585111
7143794,37111116,13011441
14842620,470187,8377881
8320823,12291666,45689914
19424505,605615,27969538
5709546,698902,24955000
17832696,1897242,15281757
27073881,2067026,21051411
6864781,2708706,68770894
7199487,2602869,3202557
7130421,1762797,9481722
10598819,1410055,30353282
9432622,3560609,82074334
37081003,268152,872814
3993098,1483251,23337701
55898961,448338,17744458
6391623,291868,93754000
9415986,269581,109746401
10496527,846737,9379379
8346974,2138371,1056905
20942912,5335551,343281659
5130714,6925979,764846160
80854045,422354,160039538
33857570,6725011,3188342
591159782,3097926,15121126
381288352,1031949,7085293
5520644,1046574,53665867
5782307,15454977,542099
3610065,690821,36170316
7878992,6098405,14353466
4193415,7089404,9115924
3046599,106191,68561642
51772482,10370073,22043546
4276131,821222,41261223
2349839,47892748,2701623
9153890,369449,10399183
51118297,2497395,5658588
12824430,223496,23598784
132383782,305095,13003366
9729870,6904000,26864379
9945816,471413,1806280000
27789668,2106132,6417149
137439884,4005288,5447073
14708136,2673620,69112862
12180616,7228536,23942887
5857645,17679423,3890434
8995546,62164772,48435824
30319907,9765590,3497434
25205961,224657,73017898
1355251850,2261957,1335024000
530512000,4858366,14258126
10638399,195130,41922674
11287133,707943,24532856
58673701,8300385,4444704
80772513,70151,59925605
13914118,1470922,16099892
97352000,312753,11358686
15058314,982574,21131041
12394277,248000,12831501
17768230,3709381,11166778
12882512,436347,6609332
17216664,192949,13114058
146924695,239508,2723486
5772230,69091,451042545
5809664,244064,12691996
18162200,1085880,5509405
47404677,358328,1629871
5662581,471289,24578622
32190040,1795922,2048799
277039282,6312134,62011791
9921047,1239154,9863450
460271281,2895902,100122988
6348438,274779,37370092
17525426,1992133,36261453
66235983,3510814,87615202
35029208,1080068,380948466
63226124,161648,102820000
33329192,2166324,48403419
48268929,175654,48411619
5871054,647459,32355662
45231066,757302,18593673
5918580,11214610,101793421
3602924,836048,106857000
8930737,1746077,16901479
70180908,1335237,21009091
57041465,438791,19991481
14717096,283350,38018966
12297327,2205709,15093090
135224687,365561,73539633
7883595,119115,47779852
6041933,10726808,3805925
9363073,1915926,2055499
8260208,336685,3747157
6962124,307497,7316304
18572000,240639,3340096
17257000,278238,19641626
6165000,1297441,44063299
4104000,287307,13139097
141875000,1899011,76416072
20594000,130229,27645043
16264880,6635509,4192301
7616000,1412975,16818653
5077977,451271,1475948
17656385,401270,37102451
63893000,3742654,50968233
3503640,2234427,25514715
16808082,3120136,29049574
76945285,272353,22119664
30485285,1108506,11849444
59954366,1161926,6268372
48686086,552452,1351357
13812411,162732,3045274
38318210,528779,21445810
14989228,914385,8558578
34053185,36114,2596413
32307329,167109,4090160
46326110,170582,15862925
6814087,22800,18625226
17888573,8813746,5720100
26553177,49150,19343531
51941172,187722,11993333
213560906,1336923,4221490
562964970,271403,665068
175994268,22758,34204555
889311205,4909591,6495203
51832098,162985,41133568
192779877,127510,3519190
95889311,381846,54125604
65711818,255318,34452709
73930934,922104,20982912
24916915,5404060,7188354
168483826,1379960,34113254
12772303,166199,35233700
207428654,3702000,1074003
12503587,2562489,7947116
574847,1130829,50796000
14004390,529260,7792392
106763603,422930,11464876
40954710,491146,9916097
47272263,2833752,9226319
17983747,620753,30391908
539003,1214219,12527571
39714056,436573,1626550
45705856,949660,29184244
15323292,172525,31187378
35806474,135219,32141679
178097000,7170310,44246639
493498000,369426,6754403
212666000,236794,33989468
21340016,355570,132486902
44029052,1953934,46866377
25815723,2245753,3132377
23704988,416983,2491190
324765032,230966,12149991
35808789,1102414,12586459
44392215,1287041,19383391
28516237,2410224,3868321
21179249,10476766,15890076
33299327,1004874,36704677
34104205,6887584,7642969
17382635,3273217,269574
40768565,2435028,9157807
14969012,308884,664883
90185327,636297,22268157
1503358,9042978,1323444
30912086,3469127,2072561
104550000,2038085,14318812
44875557,871516,2448823
45519859,423412,5376701
8835307,2790507,2621513
8916553,148432,1654859
196884542,349714,16767338
35793501,296065,5851361
37148376,166836,48991562
171075751,185981,659060
124036303,421535,9679563
5112266,454299,6403825
5446315,409785,4338638
56327738,195649,8422738
184989730,334902,22907709
40409230,378560,2448373
20432982,1871300,17643598
32944164,442436,15014491
24090745,284170,6903889
7433744,2714420,9217265
14150167,2936204,8439033
18660862,666453,3016948
58264077,76737,63762460
62949239,481945,154067
3178635000,1476550,71515281
1102364160,189583,12995707
116472285,3695936,33983537
71234000,188821,5966717
64173000,2508211,13868237
13368524,1476587,8374505
14237556,827513,2019336
7103591,1544981,5130527
16357129,1604233,18452683
6422632,2687198,41832119
62146806,3455471,11377460
22708437,2008432,20706985
73626066,3267714,1082259
145715522,440715,428273242
56340998,814659,1449174
43320059,471983,19838982
12637617,15564326,2381064
9711597,220321,19007231
4385596,9763124,3021317
47629857,1823245,10058069
45225062,382593,21761163
439610000,1167874,1227748000
6496677,847814,92769804
218844378,5093013,3509039
11519000,345234,8716821
8719000,3330683,13864916
26963000,540349,11891937
14426000,1347356,5404453
4485000,1387992,14810743
34424000,1324856,6696796
16822000,472878,9902613
13721000,783037,10009513
18204000,1345749,41033601
25033000,7907410,10418858
12551000,2506739,6068018
24678000,100238,13288323
8572000,1348493,172453583
19151000,571625,13220883
6059000,39781260,3809993
16698000,545630,12166708
103627000,139766,205000
5661000,538568,8713379
45304000,640396,11114535
1408225905,598379,1107931
15403859,116876,17645008
32095000,532289,384535
99554020,472445,10020369
20269311,11498931,8770606
44355000,1360001,4109042
24176000,627400,3114328
34271000,279316,7696352
15334000,73947,14000871
7133000,6489000,371821812
2074000,1008991,18570990
24432000,3136591,897600
19207000,220939,12839145
100775000,1071448,188727287
23276000,15380849,15633738
22793000,1044548,30447975
3903000,6592066,1666395
19030000,1384848,899017
9939000,2591442,293632
64739000,1065523,10245337
36885000,116826,20789157
36353509,991868,19173968
13184809,1428923,19110993
14394013,8637686,37480000
27351881,209205,96804472
11584200,5800000,18779247
17639253,1220550,18093242
57063602,667119,1826336
22016030,86002,81474515
24401281,4719332,626573
80930062,2801360,3228637
18579962,4997041,1759375
16391870,186644,17345254
8145677,6197800,597821000
13192824,552478,1041763
890593140,446566,71190000
20786842,2240705,162261
22026869,586419,788233
39518475,3808696,28494365
311977202,137387,115370000
15385355,85104,10314759
31235722,1478257,107935000
18760381,2291322,187500
9978521,401848,5050847
135145617,42562,1622854
1264142,1565507,13141619
81222307,730269,107776869
1326959,799001,19076467
870479,1696046,7907523
17332175,1793605,210390000
11335343,134048,25683751
255224,48649,2490223
37656041,1800176,4219283
11860765,1884182,1994389
18527408,925575,24249991
48080,1675939,871697
23376625,12553000,810713
9336895,1886083,32825175
58333447,176480,75854531
12035036,623857,57562708
30291724,4963114,104470
32546430,3269676,817521
966244070,587601,1578521
186753107,145236,6134728
97089445,170000,3883205
103179099,74167,24027055
36708373,57000,34951748
12515459,1272944,12232846
1152604,1825762,959748
45303736,2751087,1972530
41321766,848862,604474
996357,319627,60976646
1067060,4523614,2066802
368132,324615,1830851
90277890,2495744,69416671
7600155,3177957,11558662
14760769,2180859,1910774000
72156617,210350,11680028
133712947,7087414,26853261
9522324,2848690,916062244
6734553,1793504,948084086
2456851,1453819,2811512
2758234,375672,52972561
25696894,2095959,209100
12319858,155220,26759864
2353377,14138083,22880988
3555376,155516,1779657
7874901,193805,15414942
5306725,7194207,1448210
2948015,619959,13868237
3151488,471768,240627000
28034639,2696761,2453594
184047761,653290,51475000
159322460,626571,20420198
10198767,397870,3454657
10221461,2461443,8742764
30787799,2327360,44688082
18295312,77211,175622538
49237075,275009,11941522
58988189,783252,46635000
12700327,35621,621215
115208893,307157,95870376
1366270,366921,19237402
262429219,2501142,46016080
444299826,1565174,726355
21669569,516139,19446317
10155865,686043,31585119
53616663,5256016,85616156
11416568,691069,77425371
2377044,1415633,0
19257986,2592805,1544291
11848447,553412,1937100
89203000,402462,565065
278202000,721587,55177479
310984219,464519,20781105
12884923,253119,27352812
35046000,321272,5625558
14358837,2688567,429912
15434000,451586,71628652
6055783,14900455,21915288
265116952,444000,14918307
50710168,969583,976576
8112300,993189,284371
44255766,2396214,54194206
19997687,2129138,1176718
5336666,4094614,111263
5641478,4368300,2013652
6231167,814680,1046706
11553401,4437930,49378534
8601318,1049015,21243157
9147348,2314981,17123976
9427703,28305398,1080117881
6473662,363263,33732348
24805805,2911513,940000
66484452,881757,30184704
48291396,320638,168169000
24190683,24513384,13147450
34564578,4965560,23439779
836198,8195499,69960696
34211352,6413691,2168518
13084227,743181,2619860000
35125533,1938813,31455860
190556808,1402707,7111949
23490133,90357,107239953
27130172,590060,5387011
80867034,5066111,19525973
97790964,345219,1240429
33785561,556611,153764130
38036111,2615530,10015685
169484048,81937,1937426
156624000,1125401,84066130
27663481,1700833,1342660
34546242,2086607,959274
58549000,169944,691520
89905000,140263,1495540
1484715000,2855978,1375439
174305000,176196,152080000
5099266,396902,17855335
29454406,6146402,264268000
91587018,649825,1714297788
28415062,1284532,109071339
90611000,67170,24923535
44339088,398703,477432
109794731,159970,21518960
80743180,1106153,20845782
9879513,634816,3438802
22882301,859492,51993340
8289002,75085072,32122939
30836953,1244125,13823000
10305938,1468667,1143910
6739514,1397839,34922616
27860713,955642,2261939
15083639,1636247,39567854
5974368,612574,64875000
9077843,2236382,42952000
40340203,3666244,1647917
2543105,290100,545325
1037071589,1159274,2271067
6966146,8126620,42143165
5707854,609247,185475473
2710793,1227265,398130716
189651734,5603044,1592729
6790631,11524688,767837
8830729,2539943,105624573
28061525,211770802,876575
24193699,1580005,117842000
7764789,756875,8903411
6138367,255784,61187566
3548888,7030795,49389989
20714986,537510,5839574
15505555,586766,7156722
29007186,765566,35970217
16172458,5881862,68691000
130651309,4854746,4488184
7768844,625571,24872464
8658758,1109464,2788611
15187468,1066368,6955900
151518401,497015,3278012
152647262,403006,1145127
93825253,474741,514976
143464157,318153,1980456
109436169,1195274,1017416
178448666,923879,1497128
138856415,174674,129956000
66426446,5683871,1811389
207175522,2911219,738084
116040090,276546,10323577
112913061,2454213,10971751
131798369,3454848,5498106
107304674,4460069,7355802
66543701,1338268,4265586
115070569,724408,61294285
158376465,22853605,13549680
108891333,1262452,12915972
16747699,571116,55772287
66354950,767722,2264009000
34977078,71940,89711205
56620951,8920000,31060796
111280707,2730468,7236726
22069676,2769592,15792108
11571221,563807,429003
17355784,7184694,43790108
10697174,1600529,886544
48051603,5169004,17884298
22245118,2607418,7108014
15382737,3724583,19242369
867021,357672,11194518
27126469,215931,5790092
68225820,699107,12075900
124865189,214017,978707
22619945,1275092,22620874
6254434,463038,23209248
46289222,6143168,7668760
35379657,3120344,17004652
190805,232112,12162445
32997576,142340,7076239
12651059,7841075,11638991
60068464,19460499,26248836
8342330,340412,1822909
27313351,117556,9976515
24309714,539809,12043992
22941544,2347201,13788670
22759771,1660935,7090150
57575877,134048,12365853
25529978,3738996,700021000
214243015,28039,10611880
182122321,17528000,1320412
443285731,183888,29284950
963205309,577956,118154
33291006,1737208,10161275
75741038,675725,30447354
67065440,256853,1986613
90306289,2367897,5390480
57805958,1132018,10329718
45869195,2642822,399986
47130547,1337257,1934479
67878805,27000,44249772
55386287,1664354,2287469
68476947,8950,3532608
41187189,1350225,43805654
47068873,1463127,9575855
22694229,34000,31159502
35249644,835748,343755737
52663339,4356049,34468829
368103130,63459,936582
59590832,6066770,1959385
20914500,485053,4969132
409192540,376015,5743897
18193987,771673,665548
12336070,3456285,14939904
25486947,1206742,8390021
146078475,1703570,10921339
65933358,863289,12840524
10435638,31857,183445000
12751075,1358460,7048317
172929470,929641,44878600
25454935,608039,39628184
8907550,3243014,33594000
6664374,233372,1107592
11992333,284200,5028518
12515212,2375463,18874043
16308418,3905057,11414525
38363593,310501,13041006
9204950,2031901,3100938
21053963,2599176,42913112
24142541,482356,40475912
83463334,2665973,8250610
12762168,2024420,8094405
18717722,1091926,11788820
13083541,382636,13155721
16647893,128757,16769414
23326513,5102679,10084336
416899616,1461018,2914481
11333098,195247,9035929
21669495,90591,23257771
46138523,369601,13400501
48514489,145311,22053987
39563710,1081753,18343028
26681487,372040,13012760
42316202,736945,19238076
7879040,790492,75728718
9514316,1742904,14408852
11293675,2074522,37557076
6746623,2152604,790277
18906269,1081303,26693453
17488824,1832638,30068400
5650870,1126236,920203
7382880,867542,3540835
6525457,4212797,1015447
11688273,499000,1473101
4720142,1171143,9989450
14944074,4211782,26010820
118766218,523940,19956993
40267743,6177726,330557
1208623830,196631,2285530
252614796,985704,11104288
169848149,1724767,4279531
85283317,2570936,6595403
30748935,596884,11808680
25216048,2881084,22662896
670575487,6062069,6762501
124548458,879252,9148557
3595454,341237,1021501
49430127,1249790,21842627
12389480,748758,36222303
29895870,115199,73566000
11901984,777958,4777283
12109922,236751,8567357
5637991,1338817,16422862
11966302,329140,2289563
9535669,2183209,18447752
25544269,177031,18399163
7353506,2557178,32797197
17073844,2161583,37991919
9362828,602975,7116125
10938098,1671864,4271688
12053997,470742,100006675
12117066,2447411,37072192
17244270,979289,1342164
5143764,1018132,37035347
16203634,992378,56203104
84474380,701655,29587837
16081395,714411,7498018
11204728,446556,3669276
15402832,1689875,7637000
8775164,2068454,12683682
58115457,2582289,6140310
89953640,442795,2836521
20687020,2411593,7811949
12156552,371090,56347787
3916197,3220591,49213000
8398636,66565,38490547
5394454,3071575,9573259
10435291,3651889,9218116
26647722,277465,4463245
217974981,2370675,43780000
20960622,853686,11757448
4283727,770441,2521262
189544093,91871,5469932
7565159,5834449,1505711
1440010,1351707,20398972
11401915,120987,31100298
190107607,293625,25950168
416682,2797225,21097050
1829855,498369,16258926
731358,244658,6220213
1036341,2980803,37603000
1573224,2811830,1883466
